t,px,py,vx,vy,hx,hy,ax,ay,action_hx,action_hy,ai_error_avg
2.799,0.439223,0.835870,0.352223,0.436667,0.171208,0.634391,0.955373,0.944000,0.265339,-0.964155,1.772378
2.816,0.433819,0.832628,0.352371,0.436731,0.172857,0.624000,0.955313,0.944000,0.216942,-0.976185,1.770866
2.833,0.428082,0.829186,0.352519,0.436794,0.172857,0.624000,0.955263,0.944000,0.000000,0.000000,1.769386
2.849,0.422352,0.825747,0.352666,0.436857,0.172857,0.622000,0.955215,0.944000,0.000000,-1.000000,1.767935
2.866,0.416627,0.822312,0.352814,0.436920,0.172857,0.622000,0.955179,0.944000,0.000000,0.000000,1.766514
2.882,0.411244,0.819083,0.352961,0.436983,0.172857,0.626000,0.955156,0.944000,0.000000,1.000000,1.765123
2.899,0.405866,0.815856,0.353108,0.437046,0.172857,0.632000,0.955138,0.944000,0.000000,1.000000,1.763758
2.914,0.400494,0.812633,0.353255,0.437109,0.172857,0.640000,0.955125,0.944000,0.000000,1.000000,1.762420
2.930,0.395128,0.809413,0.353402,0.437172,0.172857,0.652000,0.955114,0.944000,0.000000,1.000000,1.761106
2.947,0.389431,0.805995,0.353548,0.437235,0.170000,0.668000,0.955049,0.944000,-0.242536,0.970143,1.759799
2.964,0.384075,0.802781,0.353695,0.437298,0.167260,0.685259,0.954924,0.944000,-0.216930,0.976187,1.758498
2.981,0.378390,0.799370,0.353841,0.437360,0.167143,0.696000,0.954800,0.944000,-0.015329,0.999883,1.757221
2.999,0.372711,0.795963,0.353987,0.437423,0.167143,0.706000,0.954631,0.944000,0.000000,1.000000,1.755956
3.015,0.366704,0.792358,0.354133,0.437486,0.167143,0.722000,0.954286,0.944000,0.000000,1.000000,1.754653
3.032,0.361369,0.789158,0.354279,0.437548,0.168571,0.734000,0.953686,0.944000,0.164399,0.986394,1.753303
3.048,0.355707,0.785760,0.354425,0.437611,0.170000,0.746000,0.952950,0.944000,0.164399,0.986394,1.751937
3.065,0.350050,0.782366,0.354570,0.437673,0.171429,0.754000,0.952158,0.944000,0.242536,0.970143,1.750563
3.081,0.344731,0.779175,0.354716,0.437735,0.172857,0.758000,0.951303,0.944000,0.447214,0.894427,1.749192
3.098,0.339418,0.775987,0.354861,0.437798,0.174286,0.760000,0.950347,0.944000,0.707107,0.707107,1.747830
3.115,0.333779,0.772603,0.355006,0.437860,0.175714,0.762000,0.949337,0.944000,0.707107,0.707107,1.746474
3.132,0.328144,0.769223,0.355151,0.437922,0.177143,0.762000,0.948233,0.944000,1.000000,0.000000,1.745131
3.149,0.322185,0.765647,0.355296,0.437984,0.177143,0.762000,0.947161,0.944000,0.000000,0.000000,1.743784
3.166,0.316893,0.762472,0.355441,0.438046,0.178571,0.762000,0.945992,0.944000,1.000000,0.000000,1.742449
3.182,0.311276,0.759102,0.355585,0.438108,0.181429,0.760000,0.944872,0.944000,0.894427,-0.447214,1.741149
3.200,0.305664,0.755735,0.355730,0.438170,0.185714,0.758000,0.943921,0.944000,0.948683,-0.316228,1.739902
3.216,0.300388,0.752569,0.355874,0.438232,0.190000,0.756000,0.943052,0.944000,0.948683,-0.316228,1.738713
3.233,0.294788,0.749209,0.356018,0.438293,0.197143,0.748000,0.942535,0.944000,0.780869,-0.624695,1.737640
3.250,0.289193,0.745852,0.356162,0.438355,0.208262,0.739618,0.942784,0.944000,0.880471,-0.474100,1.736787
3.266,0.283604,0.742499,0.356306,0.438417,0.220228,0.733966,0.943751,0.944000,0.947520,-0.319697,1.736129
3.283,0.278020,0.739148,0.356449,0.438478,0.231755,0.729908,0.945250,0.944000,0.969815,-0.243843,1.735634
3.300,0.310231,0.744013,1.059775,0.549252,0.244103,0.726202,0.957364,0.944000,0.977781,-0.209629,1.736927
3.316,0.331983,0.746693,1.059215,0.549203,0.255766,0.723001,0.960000,0.944000,0.981329,-0.192335,1.738210
3.332,0.352434,0.749212,1.058656,0.549154,0.268182,0.719770,0.960000,0.944000,0.983151,-0.182796,1.739481
3.348,0.374142,0.751886,1.058097,0.549105,0.279875,0.716785,0.960000,0.944000,0.983778,-0.179390,1.740739
3.365,0.394552,0.754400,1.057539,0.549056,0.291475,0.713156,0.960000,0.944000,0.975940,-0.218041,1.741979
3.382,0.414942,0.756912,1.056982,0.549007,0.302974,0.708945,0.960000,0.944000,0.967442,-0.253092,1.743200
3.398,0.435312,0.759421,1.056425,0.548958,0.315028,0.703673,0.960000,0.944000,0.954503,-0.298200,1.744403
3.415,0.456933,0.762084,1.055868,0.548909,0.327858,0.698402,0.960000,0.944000,0.959537,-0.281583,1.745584
3.432,0.479803,0.764901,1.055312,0.548860,0.338571,0.694000,0.960000,0.944000,0.959537,-0.281583,1.746751
3.447,0.500111,0.767403,1.054757,0.548811,0.338571,0.694000,0.960000,0.944000,0.000000,0.000000,1.747907
3.464,0.520400,0.769902,1.054202,0.548762,0.338571,0.694000,0.960000,0.944000,0.000000,0.000000,1.749054
3.480,0.540668,0.772399,1.053648,0.548713,0.338571,0.694000,0.960000,0.944000,0.000000,0.000000,1.750192
3.498,0.562181,0.775048,1.053094,0.548665,0.338571,0.694000,0.960000,0.944000,0.000000,0.000000,1.751319
3.514,0.583672,0.777696,1.052541,0.548616,0.338571,0.694000,0.960000,0.944000,0.000000,0.000000,1.752436
3.532,0.605143,0.780341,1.051989,0.548567,0.338571,0.694000,0.960000,0.944000,0.000000,0.000000,1.753542
3.548,0.626591,0.782983,1.051437,0.548519,0.337143,0.694000,0.960000,0.944000,-1.000000,0.000000,1.754637
3.565,0.646758,0.785467,1.050885,0.548470,0.335714,0.694000,0.960000,0.944000,-1.000000,0.000000,1.755722
3.581,0.668164,0.788104,1.050334,0.548422,0.330000,0.696000,0.960000,0.944000,-0.970143,0.242536,1.756797
3.597,0.688290,0.790583,1.049784,0.548373,0.325714,0.696000,0.960000,0.944000,-1.000000,0.000000,1.757863
3.613,0.708397,0.793059,1.049234,0.548325,0.314286,0.696000,0.960000,0.944000,-1.000000,0.000000,1.758924
3.629,0.728483,0.795534,1.048685,0.548277,0.310000,0.694000,0.960000,0.944000,-0.948683,-0.316228,1.759973
3.646,0.749803,0.798160,1.048136,0.548228,0.302857,0.694000,0.960000,0.944000,-1.000000,0.000000,1.761009
3.662,0.769850,0.800629,1.047588,0.548180,0.301429,0.692000,0.960000,0.944000,-0.707107,-0.707107,1.762026
3.679,0.791127,0.803250,1.047041,0.548132,0.297143,0.690000,0.960000,0.944000,-0.948683,-0.316228,1.763017
