t,px,py,vx,vy,hx,hy,ax,ay,action_hx,action_hy
1.862,0.911871,0.834089,0.509736,0.420151,0.073687,0.541232,0.723922,0.944000,-0.274758,-0.961513
1.879,0.912165,0.829745,0.509727,0.420231,0.076386,0.558231,0.719091,0.944000,0.274758,0.961513
1.895,0.912459,0.825405,0.509717,0.420310,0.073687,0.541232,0.714222,0.944000,-0.274758,-0.961513
1.912,0.912753,0.821070,0.509707,0.420390,0.076386,0.558231,0.709205,0.944000,0.274758,0.961513
1.929,0.913046,0.816739,0.509697,0.420470,0.073846,0.542232,0.704450,0.944000,-0.274758,-0.961513
1.945,0.913322,0.812667,0.509688,0.420549,0.076386,0.558231,0.699539,0.944000,0.274758,0.961513
1.961,0.913598,0.808600,0.509678,0.420629,0.073846,0.542232,0.694608,0.944000,-0.274758,-0.961513
1.978,0.913873,0.804536,0.509668,0.420708,0.076545,0.559231,0.689187,0.944000,0.274758,0.961513
1.994,0.914165,0.800222,0.509659,0.420787,0.074005,0.543232,0.684068,0.944000,-0.274758,-0.961513
2.012,0.914440,0.796167,0.509649,0.420867,0.076862,0.561231,0.678097,0.944000,0.274758,0.961513
2.029,0.914749,0.791609,0.509639,0.420946,0.074164,0.544232,0.672448,0.944000,-0.274758,-0.961513
2.045,0.915040,0.787308,0.509630,0.421025,0.074164,0.544232,0.667036,0.944000,0.000000,0.000000
2.061,0.915314,0.783264,0.509620,0.421104,0.074164,0.544232,0.661532,0.944000,0.000000,0.000000
2.077,0.915588,0.779225,0.509610,0.421183,0.074164,0.544232,0.655937,0.944000,0.000000,0.000000
2.094,0.915861,0.775190,0.509601,0.421262,0.074164,0.544232,0.649895,0.944000,0.000000,0.000000
2.111,0.916151,0.770906,0.509591,0.421340,0.074164,0.544232,0.643750,0.944000,0.000000,0.000000
2.128,0.916441,0.766627,0.509582,0.421419,0.074164,0.544232,0.637502,0.944000,0.000000,0.000000
2.145,0.916731,0.762352,0.509572,0.421498,0.074164,0.544232,0.631151,0.944000,0.000000,0.000000
2.162,0.917020,0.758082,0.509562,0.421576,0.074164,0.544232,0.624698,0.944000,0.000000,0.000000
2.179,0.917309,0.753815,0.509553,0.421654,0.074164,0.544232,0.618142,0.944000,0.000000,0.000000
2.195,0.917597,0.749553,0.509543,0.421733,0.074164,0.544232,0.611876,0.944000,0.000000,0.000000
2.212,0.917869,0.745546,0.509534,0.421811,0.074164,0.544232,0.604726,0.944000,0.000000,0.000000
2.230,0.918174,0.741042,0.509524,0.421889,0.074164,0.544232,0.597868,0.944000,0.000000,0.000000
2.247,0.918462,0.736793,0.509515,0.421967,0.074164,0.544232,0.590910,0.944000,0.000000,0.000000
2.264,0.918749,0.732548,0.509505,0.422045,0.074164,0.544232,0.583853,0.944000,0.000000,0.000000
2.281,0.919037,0.728308,0.509496,0.422123,0.074164,0.544232,0.576698,0.944000,0.000000,0.000000
2.297,0.919324,0.724071,0.509486,0.422201,0.074164,0.544232,0.569874,0.944000,0.000000,0.000000
2.314,0.919594,0.720088,0.509477,0.422279,0.074164,0.544232,0.562533,0.944000,0.000000,0.000000
2.330,0.919880,0.715860,0.509467,0.422357,0.074164,0.544232,0.555535,0.944000,0.000000,0.000000
2.346,0.920149,0.711884,0.509458,0.422434,0.074164,0.544232,0.548463,0.944000,0.000000,0.000000
2.363,0.920418,0.707913,0.509448,0.422512,0.074164,0.544232,0.540871,0.944000,0.000000,0.000000
2.380,0.920704,0.703698,0.509439,0.422589,0.074164,0.544232,0.533199,0.944000,0.000000,0.000000
2.397,0.920989,0.699487,0.509429,0.422667,0.074164,0.544232,0.531111,0.944000,0.000000,0.000000
2.413,0.921274,0.695280,0.509420,0.422744,0.074164,0.544232,0.531111,0.944000,0.000000,0.000000
2.430,0.921542,0.691324,0.509411,0.422821,0.074164,0.544232,0.531111,0.944000,0.000000,0.000000
2.446,0.921826,0.687126,0.509401,0.422899,0.074164,0.544232,0.531111,0.944000,0.000000,0.000000
2.463,0.922094,0.683178,0.509392,0.422976,0.074164,0.544232,0.531111,0.944000,0.000000,0.000000
2.480,0.922378,0.678988,0.509382,0.423053,0.074164,0.544232,0.531111,0.944000,0.000000,0.000000
2.497,0.922661,0.674802,0.509373,0.423130,0.074164,0.544232,0.531111,0.944000,0.000000,0.000000
2.513,0.922944,0.670620,0.509364,0.423207,0.074164,0.544232,0.531111,0.944000,0.000000,0.000000
2.530,0.923211,0.666688,0.509354,0.423283,0.074164,0.544232,0.531111,0.944000,0.000000,0.000000
2.547,0.923494,0.662515,0.509345,0.423360,0.074164,0.544232,0.531111,0.944000,0.000000,0.000000
2.563,0.923776,0.658346,0.509336,0.423437,0.074164,0.544232,0.531111,0.944000,0.000000,0.000000
2.580,0.924042,0.654426,0.509326,0.423513,0.074164,0.544232,0.531111,0.944000,0.000000,0.000000
2.596,0.924323,0.650265,0.509317,0.423590,0.074164,0.544232,0.531111,0.944000,0.000000,0.000000
2.613,0.924605,0.646108,0.509308,0.423666,0.074164,0.544232,0.531111,0.944000,0.000000,0.000000
